Nome,Livello,Scuola,Classi,Tempo di lancio,Gittata,Componenti,Durata,Descrizione
SFERA CONGELANTE DI 0TILUKE,6,Invocazione,"mago, stregone",azione,90 metri,"V, S, M (una sfera di cristallo in miniatura)",istantanea,"Una sfera congelata sfreccia dall'incantatore verso un punto a sua scelta entro gittata, dove esplode in una sfera di 18 metri di raggio. Ogni creatura in quell'area effettua un tiro salvezza su Costituzione, subendo 10d6 danni da freddo in caso di fallimento, o la metà dei danni in caso di successo. Se la sfera colpisce uno specchio d'acqua, congela l'acqua fino a una profondità di 15 centimetri su un'area quadrata con Iato di 9 metri. Lo strato di ghiaccio dura 1 minuto. Le creature che stavano nuotando sulla superficie dell'acqua ghiacciata rimangono intrap­ polate nel ghiaccio e sono trattenute. Per liberarsi, possono effettuare un'azione per effettuare una prova di Forza (Atletica) contro la CD del tiro salvezza sull'incantesimo. Una volta completato il lancio dell'incantesimo, l'incantatore può decidere di non scagliare la sfera. Così facendo, una sfera grande all'incirca quanto un proiettile da fionda, freddo al tatto, compare nella sua mano. In qualsiasi momento, l'incantatore o una creatura a cui l'ha consegnata può lanciare la sfera (entro una gittata di 12 metri) o scagliarla con una fionda (entro la normale gittata della fionda). La sfera si infrange all'impatto, con Io stesso effetto di un lancio normale dell'incantesimo. Tuttavia, l'incantatore può anche appoggiare la sfera a terra senza romperla. Dopo 1 minuto, se non è ancora stata infranta, la sfera esplode. Utilizzo di uno slot incantesimo di livello superiore. I danni aumentano di ld6 per ogni slot di livello superiore al 6°. SFERA ELASTICA DI 0TILUKE"
SFERA ELASTICA DI 0TILUKE,4,Abiurazione,mago,azione,9 metri,"V, S, M (una sfera di vetro)","concentrazione, fino a 1 minuto","Una sfera di forza scintillante racchiude una creatura o un oggetto di taglia Grande o inferiore entro gittata. Una creatura non consenziente deve superare un tiro salvezza su Destrezza, altrimenti viene rinchiusa nella sfera per la durata dell'incantesimo. Nulla può attraversare la barriera in entrata e in uscita (oggetti fisici, energia o altri effetti magici), ma una creatura all'interno può respirare liberamente. La sfera è immune a tutti i danni e una creatura o un oggetto all'interno non può essere danneggiato dagli attacchi o dagli effetti che provengono dall'esterno; analogamente, non può inflig­ gere danni a qualsiasi cosa si trovi all'esterno. La sfera non ha peso ed è grande quanto basta da con­ tenere la creatura o l'oggetto al suo interno. Una creatura rinchiusa può effettuare un'azione per spingere le pareti della sfera e farla rotolare a una velocità massima pari alla metà della propria. Analogamente, la sfera può essere sollevata e mossa da altre creature. Un incantesimo disintegrazione distrugge la sfera senza danneggiare ciò che contiene. SFERA INFUOCATA"
SFERA INFUOCATA,2,Evocazione,"druido, mago, stregone",azione,18 metri,"V, S, M (una pallina di cera)","concentrazione, fino a 1 minuto","L'incantatore crea una sfera di fuoco del diametro di 1,5 metri in uno spazio libero del terreno entro gittata che permane per la durata dell'incantesimo. Ogni creatura che termina il suo turno entro 1,5 metri dalla sfera effet­ tua un tiro salvezza su Destrezza; se lo fallisce, subisce 2d6 danni da fuoco, mentre se lo supera subisce soltanto la metà di quei danni. Come azione bonus, l'incantatore può muovere la sfera per un massimo di 9 metri, facendola rotolare sul terreno. Se l'incantatore muove la sfera nello spazio di una crea­ tura, quella creatura effettua un tiro salvezza contro la sfera, che smette di muoversi per quel turno. Quando l'incantatore muove la sfera, può dirigerla oltre le barriere alte fino a 1,5 metri e farla saltare oltre le fosse larghe fino a 3 metri. Se tocca oggetti infiammabili che non sono indossati o trasportati, la sfera li incendia proiettando luce intensa entro un raggio di 6 metri e luce fioca per altri 6 metri. Utilizzo di uno slot incantesimo di livello superiore. I danni aumentano di ld6 per ogni slot di livello superiore al 2°. SFOCATURA"
SFOCATURA,2,Illusione,"mago, stregone",azione,incantatore,V,"concentrazione, fino a 1 minuto","Il corpo dell'incantatore diventa sfocato. Per la durata dell'incantesimo, tutte le creature subiscono svantaggio ai tiri per colpire contro l'incantatore. Un attaccante è immune a questo effetto se percepisce l'incantatore con vista cieca o vista pura. SGUARDO PENETRANTE"
SGUARDO PENETRANTE,6,Necromanzia,"bardo, mago, stregone, warlock",azione,incantatore,"V, S","concentrazione, fino a 1 minuto","Per la durata dell'incantesimo, gli occhi dell'incantatore diventano neri e vacui. Una creatura a scelta dell'incan­ tatore entro 18 metri da lui e che l'incantatore è in grado di vedere deve superare un tiro salvezza su Saggezza o essere influenzata da uno dei seguenti effetti a sua scelta per la durata dell'incantesimo. In ogni suo turno fino al termine dell'incantesimo, l'incantatore può usare un'azione di Magia per bersagliare un'altra creatura, non potendo tuttavia bersagliare di nuovo una creatura che abbia superato un tiro salvezza contro questo lancio dell'incantesimo. Addormentato. Il bersaglio cade privo di sensi e si risve­ glia se subisce danni o se un'altra creatura usa un'azione per svegliarla scuotendola. In preda al panico. Il bersaglio è spaventato. In ogni suo turno, il bersaglio spaventato deve effettuare l'azione Scatto e muoversi per allontanarsi dall'incantatore lungo il percorso più sicuro e rapido possibile. Se il bersaglio si muove in un punto a più di 18 metri dall'incantatore dove non è più in grado di vederlo, l'effetto termina. Nauseato. Il bersaglio viene avvelenato. SILENZIO"
SILENZIO,2,Illusione,"bardo, chierico, ranger",azione o rituale,36 metri,"V, S","concentrazione, fino a 1 0  minuti","L'incantatore genera una sfera del raggio di 6 metri cen­ trata su un punto a sua scelta situato entro gittata e, per la durata dell'incantesimo, nessun suono può essere creato all'interno di quella sfera o attraversarla. Ogni creatura o oggetto interamente all'interno della sfera è immune ai danni da tuono e ogni creatura interamente all'interno della sfera è assordata. All'interno dell'area è impossibile lanciare un incantesimo che includa una componente verbale. SIMBOLO"
SIMBOLO,7,Abiurazione,"bardo, chierico, druido, mago",1 minuto,contatto,"V, S, M (polvere di diamante del valore di 1 .000 mo o più, che l'incantesimo consuma)",finché non viene dissolto o innescato,"L'incantatore traccia un glifo nocivo su una superficie (come una sezione di pavimento o una parete) o all'in­ terno di un oggetto che può essere chiuso (come un libro o un forziere). Il glifo può coprire un'area massima del diametro di 3 metri. Se l'incantatore sceglie un oggetto, questo non deve essere spostato; se ciò avviene, una volta che l'oggetto si allontana di più di 3 metri dal luogo in cui è stato lanciato l'incantesimo, il glifo si infrange e l'incan­ tesimo termina senza essere innescato. Il glifo è quasi impercettibile e, per notarlo, è necessario superare una prova di Saggezza (Percezione) contro la CD del tiro salvezza sull'incantesimo. Quando viene tracciato, l'incantatore sceglie l'innesco, oltre all'effetto che scatenerà: morte, discordia, paura, dolore, sonno o stordimento. Ciascuno di essi è spiegato di seguito. Programmare l'innesco. Quando questo incantesimo viene lanciato, l'incantatore decide cosa innesca il glifo. Nel caso di glifi tracciati su una superficie, gli inneschi più comuni includono: toccare o camminare su di essi, rimuo­ vere un altro oggetto che li copre o avvicinarsi a una certa distanza da loro. Nel caso di glifi tracciati all'interno di un oggetto, gli inneschi più comuni includono aprire quell'oggetto o vedere il glifo. L'incantatore può perfezionare l'innesco in modo che venga attivato solo da un certo tipo di creature (ad esem­ pio, il glifo potrebbe essere programmato per influenzare le aberrazioni). Può inoltre impostare delle condizioni per evitare di innescare il glifo, come pronunciare una specifica parola d'ordine. Una volta attivato, il glifo brilla, proiettando luce fioca in una sfera del raggio di 18 metri per 10 minuti, dopodi­ ché l'incantesimo termina. Ogni creatura all'interno della sfera quando il glifo si attiva, oppure che entra nella sfera per la prima volta in un turno o termina il suo turno qui, ne subisce l'effetto. Una creatura può essere presa di mira una sola volta per turno. Discordia. Ogni bersaglio effettua un tiro salvezza su Saggezza. Se lo fallisce, inizia a litigare con le altre creature per 1 minuto, durante il quale non è in grado di comunicare in modo significativo e subisce svantaggio ai tiri per colpire e alle prove di caratteristica. Dolore. Ogni bersaglio deve superare un tiro salvezza su Costituzione, altrimenti sarà incapacitato per 1 minuto. Morte. Ogni bersaglio effettua un tiro salvezza su Costituzione, subendo lOdlO danni necrotici in caso di fallimento, o la metà dei danni in caso di successo. Paura. Ogni bersaglio deve superare un tiro salvezza su Saggezza, altrimenti sarà spaventato per 1 minuto. Mentre è spaventato, il bersaglio deve allontanarsi di almeno 9 metri dal glifo in ogni suo turno, se ne è in grado. Sonno. Ogni bersaglio deve superare u n  tiro salvezza su Saggezza, altrimenti cade privo di sensi per 10 minuti. Una creatura si risveglia se subisce danni o se qualcuno usa un'azione per scuoterla. Stordimento. Ogni bersaglio deve superare un tiro sal­ vezza su Saggezza, altrimenti sarà stordito per 1 minuto. SIMULACRO"
SIMULACRO,7,Illusione,mago,1 2  ore,contatto,"V, S, M (polvere di rubino del valore di 1 . 500 mo o più, che l ' incantesimo consuma)",finché non viene dissolto,"Il personaggio crea un simulacro di una bestia o un umanoide entro 3 metri da sé per l'intera durata del lancio dell'incantesimo. Il lancio termina toccando sia il bersaglio che un cumulo di ghiaccio o neve della sua stessa taglia. Quest'ultimo diventa il simulacro, il quale è una creatura che utilizza le statistiche di gioco della controparte originale al momento del lancio, tranne per il fatto che è un costrutto, per cui ha la metà dei punti ferita massimi e non può lanciare questo incantesimo. Il simulacro è amichevole nei confronti dell'incanta­ tore e delle creature da lui indicate. Inoltre, obbedisce ai comandi che gli impartisce durante il suo turno in combattimento. Il simulacro non può né ottenere livelli né compiere riposi brevi o lunghi. Se subisce dei danni, l'unico modo che il personaggio ha di ripristinare i suoi punti ferita è ripararlo mentre compie un riposo lungo, durante il quale consuma compo­ nenti dal valore di 100 mo per ogni punto ferita ripristi­ nato. Per poter eseguire la riparazione, il simulacro deve essere entro 1,5 metri dal personaggio. Il simulacro permane finché non scende a O punti ferita, nel qual caso si ritrasforma in neve e si scioglie. Se l'incantatore lancia di nuovo questo incantesimo, il simulacro da lui creato in precedenza viene istantanea­ mente distrutto. SOFFIO DEL DRAGO"
SOFFIO DEL DRAGO,2,Trasmutazione,"mago, stregone",azione bonus,contatto,"V, S, M (un peperoncino)","concentrazione, fino a 1 minuto","L'incantatore tocca una creatura consenziente e sceglie acido, freddo, fulmine, fuoco, o veleno. Fino al termine dell'incantesimo, il bersaglio può usare la sua azione di Magia per esalare un cono di 4,5 metri. Ogni creatura nell'area effettua un tiro salvezza su Destrezza; se lo falli­ sce, subisce 3d6 danni del tipo scelto, mentre se lo supera subisce la metà di quei danni. Utilizzo di uno slot incantesimo di livello superiore. I danni aumentano di ld6 per ogni slot di livello supe­ riore al 2°. SOGNO"
SOGNO,5,Illusione,"bardo, mago, warlock",1 minuto,speciale,"V, S, M (una manciata di sabbia)",8 ore,"L'incantatore bersaglia una creatura che conosce sullo stesso piano di esistenza. L'incantatore o una creatura con­ senziente da lui toccata entra in uno stato di trance, assu­ mendo il ruolo di messaggero onirico. Durante la trance, il messaggero è incapacitato e la sua velocità è pari a O. Se il bersaglio dorme, il messaggero gli appare in sogno e può conversare con lui finché rimane addormentato e l'incantesimo non termina. Il messaggero può anche modellare l'ambiente del sogno, creando paesaggi, oggetti e altre immagini. Il messaggero può uscire dalla trance in ogni momento, terminando l'incantesimo. Al suo risveglio, il bersaglio ricorda il sogno perfettamente. Se il bersaglio è sveglio quando l'incantatore lancia l'incantesimo, il messaggero ne è consapevole e può termi­ nare la trance (e l'incantesimo) o aspettare che il bersaglio si addormenti e così apparire nei suoi sogni. L'incantatore può fare in modo che il messaggero appaia terrificante al bersaglio. In questo caso, il messaggero può trasmettere un messaggio di massimo dieci parole e poi il bersaglio effettua un tiro salvezza su Saggezza. In caso di fallimento, il bersaglio non ottiene alcun beneficio dal suo riposo e subisce 3d6 danni psichici al risveglio. SONNO"
SONNO,1,Ammaliamento,"bardo, mago, stregone",azione,18 metri,"V, S, M (un pizzico di sabbia o dei petali di rosa)","concentrazione, fino a 1 minuto","Ogni creatura a scelta dell'incantatore in una sfera dal rag­ gio di 1,5 metri in una posizione entro gittata deve superare un tiro salvezza su Saggezza, altrimenti sarà incapacitata fino al termine del proprio turno successivo. A questo punto, dovrà ripetere la prova e, in caso di fallimento, cadrà priva di sensi per la durata dell'incantesimo. L'effetto svanisce se il bersaglio subisce danni o se qualcuno entro 1,5 metri da esso effettua un'azione per scuoterlo e farlo tornare in sé. Le creature che non dormono, come gli elfi, o che sono immuni all'indebolimento superano automaticamente i tiri salvezza contro l'incantesimo. SORTILEGIO"
SORTILEGIO,1,Ammaliamento,warlock,azione bonus,27 metri,"V, S, M (l'occhio pietrificato di un tritone)","concentrazione, fino a 1 ora","L'incantatore scaglia una maledizione su una creatura entro gittata e che è in grado di vedere. Fino al termine dell'incantesimo, l'incantatore infligge ld6 danni necrotici extra al bersaglio ogni volta che lo colpisce con un tiro per colpire. Inoltre, quando l'incantatore lancia l'incantesimo, sceglie una caratteristica. Il bersaglio subisce svantaggio alle prove di caratteristica effettuate con la caratteristica scelta. Se il bersaglio scende a O punti ferita prima del termine dell'incantesimo, l'incantatore può effettuare un'azione bonus in un suo turno successivo per maledire un'altra creatura. Utilizzo di uno slot incantesimo di livello superiore. La concentrazione dell'incantatore può durare di più utilizzando uno slot incantesimo di 2° livello (fino a 4 ore), di 3° o 4° livello (fino a 8 ore) o di 5° livello o superiore (24 ore). SPADA DI MORDENKAINEN"
